상호명,도로명주소,상권업종중분류명,경도,위도,e음카드
한마음정육식당송도타임스페이스점,인천광역시 연수구 하모니로 158,한식,126.642254785841,37.383298931388,
밥통령,인천광역시 부평구 신트리로 56,한식,126.727263182843,37.505900969645,
업소명없음,인천광역시 부평구 부평대로 153,중식,126.720695659653,37.5049666009408,
주동아리,인천광역시 부평구 길주남로 128,한식,126.735967726287,37.5038304199393,
마장부속고기,인천광역시 중구 신포로23번길 19,한식,126.62374750084,37.4714956323653,
아바,인천광역시 남동구 문화로89번길 33,한식,126.697291966302,37.4470913586884,
진진푸드,인천광역시 부평구 길주남로101번길 31,한식,126.733032266795,37.5055987979131,
부평수제칼국수,인천광역시 부평구 부평대로71번길 13,한식,126.721355816671,37.4977511249158,
혜화동돈까스극장인천청라,인천광역시 서구 크리스탈로102번길 22,일식,126.63921738804,37.533875131026,
후니포차,인천광역시 남동구 구월로372번길 13-17,한식,126.733022814226,37.4542323884518,
라스트춘선구월,인천광역시 남동구 인하로507번길 63,한식,126.702833012486,37.4461863892414,
사랑정육식당,인천광역시 서구 대평로8번길 20,한식,126.676374988398,37.5490384469082,
동궁찜닭,인천광역시 미추홀구 경인로435번길 14,한식,126.688824552513,37.4587284357933,
동화,인천광역시 연수구 컨벤시아대로230번길 42,중식,126.6349147696,37.3880879395509,
한솥도시락모래내,인천광역시 남동구 호구포로 818,한식,126.719603312668,37.455300543912,
용현동감자탕용감,인천광역시 미추홀구 수봉남로17번길 41,한식,126.655108048765,37.4588510878461,
동네포차주민,인천광역시 서구 청라커낼로 300,한식,126.646013864238,37.5345624362837,
홍콩반점0410검단아라점,인천광역시 서구 발산로 27,중식,126.711071026199,37.5929436982882,
두꺼비랭삼,인천광역시 남동구 논현로26번길 12,한식,126.708844319746,37.402610263825,
히노아지인천시민공원역점,인천광역시 미추홀구 경인로 372,일식,126.681254047699,37.4581856740363,
흥성양꼬치,인천광역시 남동구 문화로89번길 49,중식,126.696331140452,37.447151964672,
구름계란덮밥계양점,인천광역시 계양구 계산로80번길 2,일식,126.720834386626,37.5375561019686,
다혜,인천광역시 연수구 하모니로 158,한식,126.642254785841,37.383298931388,
쭝식대장,인천광역시 미추홀구 석바위로114번길 10,중식,126.685181384209,37.4596107853906,
우차식당,인천광역시 중구 운서1로 1,한식,126.50747466162,37.4826280300274,
에이치엠푸드,인천광역시 부평구 경원대로1240번길 5-4,한식,126.709035460135,37.4874589843102,
국민매운찜갈비,인천광역시 부평구 장제로228번길 12,한식,126.731968319088,37.5058306492654,
레드폭스,인천광역시 중구 자연대로 40,중식,126.560147185939,37.4889716827863,
업소명없음,인천광역시 중구 하늘중앙로 193,일식,126.56050087949,37.4903605402614,
딸부자집,인천광역시 서구 탁옥로51번길 6,한식,126.675523872455,37.5443689558478,
배도락,인천광역시 부평구 원적로471번길 4,한식,126.719117281113,37.5036383845159,
깡통뒷고기,인천광역시 미추홀구 경원대로864번길 78,한식,126.693549266504,37.4614528187567,
유케야,인천광역시 연수구 청명로31번길 1,한식,126.675899543667,37.4182022283009,
나주,인천광역시 부평구 장제로249번길 29,한식,126.729382483558,37.5078249790514,
이리오너라,인천광역시 중구 마시란로 19,한식,126.422397576206,37.4250291637172,
